#,weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
113,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97673
114,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97682
115,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,21,4,45 CAL,2,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,0,true,NONE,05-10FT,PERSON,OTHER (SPECIFY),97693
116,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97698
117,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97716
118,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97735
119,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97744
120,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97756
121,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97773
122,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97797
123,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97820
124,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97830
125,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97831
126,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97843
127,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97867
128,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,97873
129,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97874
130,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97891
131,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97909
132,OTHER (SPECIFY),,,,,,0,No,0,RIGHT SIDE (WAIST),OTHER (SPECIFY),NONE,false,NONE,0-5FT,NONE,STANDING,97918
133,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97929
134,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97967
135,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97976
136,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97979
137,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97988
138,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97990
139,TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,97995
140,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,97995
141,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98020
142,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98022
143,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98026
144,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98039
145,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98042
146,TASER (DRIVE STUN MODE),,,,,,,,,,,,,,,,,98043
147,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98045
148,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98051
149,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,19,4INCH, 9 MM,1,No,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,OVER 15FT,OBJECT,STANDING,98052
150,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98061
151,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98062
152,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98074
153,TASER (PROBE DISCHARGE),,,,,,,,,,,,,,,,,98109
154,CHEMICAL WEAPON,,,,,,,,,,,,,,,,,98110
155,SEMI-AUTO PISTOL,"GLOCK, INC.--AU--",,17,4.49, 9 MM,1,No,0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,STANDING,98111
